📡央视卫视1,#genre#
CGTN英语,https://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGNT记录,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江科教,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江记录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
影视娱乐,https://ali-m-l.cztv.com/channels/lantian/channel005/1080p.m3u8
内蒙新闻,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
内蒙经济,https://livestream-bt.nmtv.cn/nmtv/2317general.m3u8?txSecret=112b2c4c872de52b0f37aff6ead63ef0&txTime=771E8800
内蒙少儿,https://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=a2c948908728a0733cecbe1fadea23dc&txTime=771E8800
内蒙文体,https://livestream-bt.nmtv.cn/nmtv/2319general.m3u8?txSecret=c7b5c515d2bb6df442492d54955329a3&txTime=771E8800
内蒙农牧,https://livestream-bt.nmtv.cn/nmtv/2320general.m3u8?txSecret=4d368a175afa19737a9f5be10af24fe2&txTime=771E8800
蒙语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general-1743999080.ts?txspiseq=108256811249241734407
蒙语文化,https://livestream-bt.nmtv.cn/nmtv/2321general.m3u8?txSecret=d9d0fd7a252ef56b515c46a2e21830f4&txTime=771E8800
呼市新闻综合,https://livestream-bt.nmtv.cn/nmtv/2321general.m3u8?txSecret=d9d0fd7a252ef56b515c46a2e21830f4&txTime=771E8800
包头新闻综合,https://livestream-bt.nmtv.cn/nmtv/2358general.m3u8?txSecret=98390a77c143a68f0fd64bfe6e181dcb&txTime=771E8800
鄂尔多斯新闻,https://livestream-bt.nmtv.cn/nmtv/2349general.m3u8?txSecret=e44477052aba305cadeea45aaf1c674a&txTime=771E8800
巴彦卓尔新闻,https://livestream-bt.nmtv.cn/nmtv/2348general.m3u8?txSecret=6a4ddce077e41b976fe33619fbef2b30&txTime=771E8800
赤峰新闻综合,https://livestream-bt.nmtv.cn/nmtv/2351general.m3u8?txSecret=8857087aeec2cec44d178a18550fdb8a&txTime=771E8800
乌兰察布新闻,https://livestream-bt.nmtv.cn/nmtv/2354general.m3u8?txSecret=cf5f71d0000862b18f5813607b3dfd5b&txTime=771E8800%20
📡央视卫视2,#genre#
CCTV1综合,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
CCTV2财经,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
CCTV3综艺,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV4中文国际,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8
CCTV5体育,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV6电影,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
CCTV7军农,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8
CCTV8电视剧,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
CCTV9纪录,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8
CCTV10科教,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8
CCTV11戏曲,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8
CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8
CCTV13新闻,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8
CCTV14少儿,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8
CCTV15音乐,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8
CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8
CCTV5+,http://goo.bkpcp.top/mg/cctv5p#CCTV5+,http://z.b.bkpcp.top/m.php?id=cctv5p#CCTV5+,http://ttkx.cc:1658/公开源454/mg9.php?id=cctv5p$咪咕源1#CCTV5+,http://iptv.887979.xyz/ysptp/cctv5p.m3u8#CCTV5+,https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8
湖南卫视,http://39.134.65.181/PLTV/88888888/224/3221225506/1.m3u8
浙江卫视,http://39.134.65.162/PLTV/88888888/224/3221225514/1.m3u8
江苏卫视,http://39.134.65.175/PLTV/88888888/224/3221225503/1.m3u8
安徽卫视,http://39.134.67.108/PLTV/88888888/224/3221225925/1.m3u8
北京卫视,http://39.134.67.108/PLTV/88888888/224/3221225931/1.m3u8
天津卫视,http://39.134.67.108/PLTV/88888888/224/3221225972/1.m3u8
辽宁卫视,http://107.174.52.32/itv.php?id=%e8%be%bd%e5%ae%81%e5%8d%ab%e8%a7%86
辽宁卫视,http://123.161.39.228:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://119.125.134.235:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://39.134.67.108/PLTV/88888888/224/3221225952/1.m3u8
黑龙江卫视,http://39.134.67.108/PLTV/88888888/224/3221225994/1.m3u8
深圳卫视,http://39.134.67.108/PLTV/88888888/224/3221225943/1.m3u8
湖北卫视,http://39.134.67.108/PLTV/88888888/224/3221225975/1.m3u8
河北卫视,http://39.134.67.108/PLTV/88888888/224/3221225961/1.m3u8
贵州卫视,http://39.134.67.108/PLTV/88888888/224/3221225974/1.m3u8
东南卫视,http://39.134.67.108/PLTV/88888888/224/3221225950/1.m3u8
广东卫视,http://39.134.67.108/PLTV/88888888/224/3221225966/1.m3u8
青海卫视,rtsp://116.176.26.19/PLTV/88888910/224/3221225559/10000100000000060000000000107339_0.smil
西藏卫视,http://39.134.67.108/PLTV/88888888/224/3221225951/1.m3u8
内蒙古卫视,http://1417.93.132/livestream-bt.nmtv.cn/nmtv/2314general.m3u8
新疆卫视,http://107.174.52.32/itv.php?id=%e6%96%b0%e7%96%86%e5%8d%ab%e8%a7%86#新疆卫视,rtsp://124.152.124.50/PLTV/88888910/224/3221225562/10000100000000060000000000107342_0.smil#新
疆卫视,rtsp://116.176.26.19/PLTV/88888910/224/3221225562/10000100000000060000000000107342_0.smil#
新疆卫视,rtsp://60.13.27.115/PLTV/88888910/224/3221225562/10000100000000060000000000107342_0.smil
兵团卫视,http://107.174.52.32/itv.php?id=%e5%85%b5%e5%9b%a2%e5%8d%ab%e8%a7%86#兵团卫视,http://119.140.58.23:2024/hls/85/index.m3u8#兵团卫视,http://182.92.109.190:1668/tianyi/tianyi.php?id=btws
甘肃卫视,http://107.174.52.32/itv.php?id=%e7%94%98%e8%82%83%e5%8d%ab%e8%a7%86#甘肃卫视,http://api.dbkan.cdn.iptv.xin:2052/api.dbkan.com/hn/209#甘肃卫视,http://live.nctv.top/IQRy0ie/bfgd.php?id=119#甘肃卫视,http://223.86.171.240:8999/udp/239.93.16.49:8288
宁夏卫视,http://107.174.52.32/itv.php?id=%e5%ae%81%e5%a4%8f%e5%8d%ab%e8%a7%86#宁夏卫视,https://www.shqsy.com:443/tv/zb/jxyh.php?id=nxws#宁夏卫视,http://119.140.58.23:2024/hls/84/index.m3u8
广西卫视,http://39.134.67.108/PLTV/88888888/224/3221226024/1.m3u8
四川卫视,http://39.134.67.108/PLTV/88888888/224/3221225970/1.m3u8
东方卫视,http://39.134.67.108/PLTV/88888888/224/3221225942/1.m3u8
吉林卫视,http://39.134.67.108/PLTV/88888888/224/3221226013/1.m3u8
江西卫视,http://39.134.67.108/PLTV/88888888/224/3221225935/1.m3u8
河南卫视,rtsp://60.13.27.115/PLTV/88888910/224/3221225545/10000100000000060000000000107325_0.smil#
河南卫视,rtsp://180.95.143.19/PLTV/88888910/224/3221225545/10000100000000060000000000107325_0.smil
重庆卫视,http://39.134.67.108/PLTV/88888888/224/3221225963/1.m3u8
云南卫视,rtsp://116.176.26.19/PLTV/88888910/224/3221225554/10000100000000060000000000107334_0.smil#云南卫视,rtsp://60.13.27.115/PLTV/88888910/224/3221225554/10000100000000060000000000107334_0.smil
海南卫视,http://39.134.67.108/PLTV/88888888/224/3221226026/1.m3u8
山西卫视,http://39.134.67.108/PLTV/88888888/224/3221226009/1.m3u8
陕西卫视,http://218.13.14.6:60050/tsfile/live/1044_1.m3u8
三沙卫视,http://119.140.58.23:2024/hls/88/index.m3u8
大湾区卫视,http://tvbox6.icu/tv/dwqws.m3u8

http://mp9f95qlr5w6g9:y1elpx1zic9qvx@p.proxik.cloud:8080
